mse,psnr,ssim,lpips,time,model,lambda,delta
0.1076780298538484, 9.678728991772088, 0.5272096, 0.6451900005340576, 67.63151979446411, nnL1, 0.0001, 0
0.1594945530197501, 7.9725414416704705, 0.3077017, 0.7012768387794495, 100.50324201583862, nnL1, 0.0001, 0
0.047024819737614076, 13.276728605752348, 0.61178017, 0.6228365898132324, 78.06051254272461, nnL1, 0.0001, 0
0.020332824883684812, 16.91802279691071, 0.47036958, 0.6556243300437927, 73.73049402236938, nnL1, 0.0001, 0
0.08383546789865864, 10.765722074572563, 0.43346992, 0.8125957250595093, 72.61236929893494, nnL1, 0.0001, 0
0.034196835948190264, 14.660140750494193, 0.5081114, 0.7069525718688965, 84.83222794532776, nnL1, 0.0001, 0
0.028082504036041744, 15.515641700269246, 0.6154217, 0.7045443058013916, 55.49417495727539, nnL1, 0.0001, 0
0.12001631178078649, 9.207597236611093, 0.53283006, 0.5886815786361694, 78.31281280517578, nnL1, 0.0001, 0
0.03051437789189196, 15.154954797422091, 0.6287443, 0.46731871366500854, 105.90197730064392, nnL1, 0.0001, 0
0.016626076812696785, 17.792102173831868, 0.7619048, 0.3315456509590149, 105.06217765808105, nnL1, 0.0001, 0
0.07873220327784543, 11.038475948932849, 0.40280053, 0.7478099465370178, 62.765565395355225, nnL1, 0.0001, 0
0.062329558663779636, 12.05305948201275, 0.4282932, 0.7271105051040649, 100.99169898033142, nnL1, 0.0001, 0
0.11550849440372674, 9.373860769232092, 0.38309953, 0.7915517687797546, 70.05843234062195, nnL1, 0.0001, 0
0.049413315009331035, 13.061560094587652, 0.39580044, 0.6330482959747314, 92.47869348526001, nnL1, 0.0001, 0
0.018959209334362168, 17.22179778225988, 0.49333206, 0.7217409610748291, 61.92010736465454, nnL1, 0.0001, 0
0.023521572747114028, 16.285336429463545, 0.52629066, 0.5828663110733032, 80.87699246406555, nnL1, 0.0001, 0
0.30504906251089314, 5.156303053608957, 0.35580397, 0.830345630645752, 62.88165736198425, nnL1, 0.0001, 0
0.035242007153356826, 14.529393649931423, 0.5374029, 0.6518568992614746, 85.09416151046753, nnL1, 0.0001, 0
0.18042027888075415, 7.43714650213993, 0.5165886, 0.7228732109069824, 59.169517517089844, nnL1, 0.0001, 0
0.03984591547551403, 13.996161906382858, 0.6605132, 0.6234022378921509, 64.55572414398193, nnL1, 0.0001, 0
0.03552101112092944, 14.495146803374062, 0.4999636, 0.5610438585281372, 128.5313379764557, nnL1, 0.0001, 0
0.15605538123751506, 8.067212510200251, 0.6017204, 0.6385016441345215, 71.59515881538391, nnL1, 0.0001, 0
0.10495809991019028, 9.789840400681562, 0.4043915, 0.7231975793838501, 76.27391791343689, nnL1, 0.0001, 0
0.024746380273487457, 16.064883176280826, 0.5948684, 0.5793619751930237, 77.99571228027344, nnL1, 0.0001, 0
0.06270240458586503, 12.02715804012215, 0.4221895, 0.7469455003738403, 89.81902408599854, nnL1, 0.0001, 0
0.01125218586479372, 19.487631027254984, 0.6696456, 0.43219509720802307, 113.7825391292572, nnL1, 0.0001, 0
0.13729280400353192, 8.623522250608218, 0.53859025, 0.6460753083229065, 60.63432860374451, nnL1, 0.0001, 0
0.06185860574261534, 12.085998729702869, 0.5261922, 0.6900942325592041, 65.60761618614197, nnL1, 0.0001, 0
0.17923424364871568, 7.465790124924407, 0.39897427, 0.6906641721725464, 91.7569191455841, nnL1, 0.0001, 0
0.037838991211284895, 14.22060450420677, 0.47796512, 0.6258141994476318, 89.77035164833069, nnL1, 0.0001, 0
0.28114664494343056, 5.510670947661684, 0.22171746, 0.7613334655761719, 86.259108543396, nnL1, 0.0001, 0
0.07523308871911259, 11.235911077125113, 0.57832, 0.5366753935813904, 66.29859519004822, nnL1, 0.0001, 0
